user_id,followers,topics
user_083,2065,"Vintage Fashion,Minimalist Fashion"
user_084,154,Capsule Wardrobe
user_085,933,"Retro Fashion,Fast Fashion,Ethical Fashion,Fashion Collaborations,Sustainable Fashion"
user_086,706,Fashion Week Highlights
user_087,527,"Fashion Resale,High Fashion,Color Blocking,Minimalist Fashion,Seasonal Trends"
user_088,331,"Retro Fashion,Capsule Wardrobe,Fashion Week Highlights,Street Style"
user_089,2165,"Sustainable Fashion,Color Blocking,Retro Fashion"
user_090,1737,"Sustainable Fashion,Seasonal Trends"
user_091,2155,"Fashion Week Highlights,Influencer Style"
user_092,1518,"Digital Fashion,Vintage Fashion,Gender-Neutral Fashion"
user_093,1539,"Influencer Style,Seasonal Trends,Minimalist Fashion"
user_094,142,"Seasonal Trends,Digital Fashion,Statement Pieces,High Fashion,Fashion Collaborations"
user_095,1713,"Streetwear,Fashion Hacks,Luxury Brands"
user_096,1662,"Minimalist Fashion,Ethical Fashion,Fashion Week Highlights"
user_097,300,Fashion Hacks
user_098,1095,"Athleisure,Fashion Hacks,Fashion NFTs"
user_099,2370,"Luxury Brands,Retro Fashion"
user_100,1997,"Retro Fashion,Vintage Fashion"
