user_id,followers,topics
user_073,1652,"Color Blocking,Fashion Collaborations,Bohemian Style,High Fashion"
user_074,594,"Vintage Fashion,Fast Fashion"
user_075,434,"Sustainable Fashion,Fashion Resale,Fashion Collaborations,Retro Fashion"
user_076,198,"Fashion Week Highlights,Capsule Wardrobe,Monochrome Outfits"
user_077,2105,"Ethical Fashion,Fashion Hacks,Influencer Style,Bohemian Style,High Fashion"
user_078,807,"Street Style,Virtual Fashion Shows"
user_079,638,"Color Blocking,Bohemian Style,Vintage Fashion,Layering Techniques"
user_080,997,"Vintage Fashion,Streetwear,Color Blocking,Virtual Fashion Shows,High Fashion"
user_081,823,"Athleisure Wear,Ethical Fashion,Layering Techniques,Digital Fashion,Minimalist Fashion"
user_082,1372,"Fashion Hacks,Retro Fashion,Gender-Neutral Fashion,Seasonal Trends"
user_083,1696,"Retro Fashion,Digital Fashion"
user_084,1589,"Monochrome Outfits,Luxury Brands,Layering Techniques,Fashion Resale"
user_085,1532,"Fashion Sustainability,Influencer Style,Vintage Fashion,Bohemian Style"
user_086,571,"Streetwear,Luxury Brands,Monochrome Outfits,Ethical Fashion,Color Blocking"
user_087,919,"Bohemian Style,Vintage Fashion,Monochrome Outfits,Gender-Neutral Fashion,Retro Fashion"
user_088,150,"Street Style,Fashion Hacks,Vintage Fashion,Digital Fashion"
user_089,594,Athleisure
user_090,638,"Fashion Collaborations,Fashion Hacks,Digital Fashion,Athleisure"
user_091,1323,"Monochrome Outfits,Digital Fashion,Influencer Style,Color Blocking"
user_092,1756,"Vintage Fashion,Digital Fashion,High Fashion"
user_093,1832,Sustainable Fashion
user_094,1642,"Streetwear,Fashion NFTs,Ethical Fashion"
user_095,1216,"Athleisure Wear,Luxury Brands,Ethical Fashion,High Fashion"
user_096,2434,"Fashion Collaborations,High Fashion"
user_097,1662,"Fashion Week Highlights,Fashion Sustainability"
user_098,2144,"Fashion Sustainability,Seasonal Trends,Statement Pieces,Upcycled Fashion,Streetwear"
user_099,338,"Sustainable Fashion,Influencer Style,Fashion Resale"
user_100,1815,"Seasonal Trends,Sustainable Fashion,Streetwear,Influencer Style,High Fashion"
