user_id,followers,topics
user_041,139,"Fashion Week Highlights,Vintage Fashion,Layering Techniques"
user_042,1731,"Fashion Sustainability,Minimalist Fashion,Retro Fashion"
user_043,1131,"Virtual Fashion Shows,Digital Fashion,Statement Pieces"
user_044,1344,"Layering Techniques,Influencer Style"
user_045,1279,Sustainable Fashion
user_046,1194,Monochrome Outfits
user_047,1569,"Fashion Resale,Athleisure Wear,Color Blocking"
user_048,790,Street Style
user_049,1551,Gender-Neutral Fashion
user_050,521,"Fashion NFTs,Fashion Sustainability"
user_051,1478,"Capsule Wardrobe,Street Style,Athleisure,Digital Fashion,Statement Pieces"
user_052,333,Retro Fashion
user_053,1388,Street Style
user_054,45,Influencer Style
user_055,246,Capsule Wardrobe
user_056,1385,"Virtual Fashion Shows,Street Style"
user_057,106,Upcycled Fashion
user_058,1252,"Bohemian Style,High Fashion,Streetwear"
user_059,1501,"Fashion NFTs,Monochrome Outfits,Upcycled Fashion"
user_060,2500,"Fashion Week Highlights,High Fashion,Monochrome Outfits,Fashion Hacks"
user_061,1085,Capsule Wardrobe
user_062,518,"Color Blocking,High Fashion,Streetwear,Fashion Sustainability,Retro Fashion"
user_063,2059,"Fashion Sustainability,Layering Techniques"
user_064,491,"Fashion Resale,Fashion Hacks"
user_065,498,"Minimalist Fashion,Upcycled Fashion,Athleisure,Color Blocking,Athleisure Wear"
user_066,1063,"Layering Techniques,Fashion Hacks,Minimalist Fashion"
user_067,2320,"Capsule Wardrobe,Digital Fashion,Gender-Neutral Fashion,Street Style,Color Blocking"
user_068,2133,Upcycled Fashion
user_069,1241,"Athleisure,Fashion Resale,Fashion Collaborations"
user_070,2096,"Influencer Style,Retro Fashion"
user_071,2214,Fashion Sustainability
user_072,1771,"Athleisure,Monochrome Outfits,Layering Techniques,Fashion Sustainability,Statement Pieces"
user_073,1180,"Statement Pieces,Virtual Fashion Shows"
user_074,1983,"Minimalist Fashion,Fashion Week Highlights,Influencer Style,Athleisure Wear,Streetwear"
user_075,1990,"Upcycled Fashion,Streetwear"
user_076,799,"Capsule Wardrobe,Vintage Fashion,Fashion NFTs"
user_077,2348,"Fashion NFTs,Color Blocking"
user_078,348,"Bohemian Style,Fashion Sustainability,High Fashion,Statement Pieces,Gender-Neutral Fashion"
user_079,1560,"Fashion NFTs,Fashion Sustainability,Fashion Hacks,Streetwear"
user_080,153,"Virtual Fashion Shows,Color Blocking,High Fashion"
user_081,2142,"Ethical Fashion,Fashion Collaborations"
user_082,1283,"Luxury Brands,Fashion NFTs"
user_083,1655,Fashion Week Highlights
user_084,1014,High Fashion
user_085,437,"Statement Pieces,Monochrome Outfits,Influencer Style,Sustainable Fashion"
user_086,1404,"Fashion Week Highlights,Statement Pieces,Digital Fashion,Athleisure Wear"
user_087,2014,"Capsule Wardrobe,Sustainable Fashion,Athleisure Wear,Fashion Sustainability,Retro Fashion"
user_088,592,"Color Blocking,Athleisure Wear,Fashion NFTs,Capsule Wardrobe"
user_089,78,Sustainable Fashion
user_090,347,"Fast Fashion,Fashion Sustainability,Virtual Fashion Shows"
user_091,1963,Fashion Sustainability
user_092,1444,Fashion Hacks
user_093,1855,"High Fashion,Vintage Fashion,Athleisure"
user_094,1061,"Upcycled Fashion,Seasonal Trends,Layering Techniques,Streetwear,Bohemian Style"
user_095,927,"Retro Fashion,High Fashion,Fashion Resale,Minimalist Fashion,Fashion Week Highlights"
user_096,2072,"Digital Fashion,Gender-Neutral Fashion,Monochrome Outfits"
user_097,52,"Sustainable Fashion,Monochrome Outfits,Capsule Wardrobe"
user_098,944,Statement Pieces
user_099,924,"Statement Pieces,Gender-Neutral Fashion,Upcycled Fashion"
user_100,995,Fashion NFTs
