user_id,followers,topics
user_077,133,"Street Style,Retro Fashion,Influencer Style,Sustainable Fashion"
user_078,788,"Digital Fashion,Monochrome Outfits,Fashion Hacks,Athleisure,Bohemian Style"
user_079,1742,"Luxury Brands,Minimalist Fashion,Ethical Fashion"
user_080,1102,"Street Style,Gender-Neutral Fashion"
user_081,306,"Athleisure Wear,Statement Pieces,Fashion NFTs,Color Blocking,Layering Techniques"
user_082,1370,"Sustainable Fashion,Fashion Hacks,Athleisure,Fashion Sustainability"
user_083,899,"Retro Fashion,Digital Fashion,Virtual Fashion Shows,Minimalist Fashion,Fashion NFTs"
user_084,1110,Bohemian Style
user_085,978,"Fashion Hacks,Bohemian Style,Capsule Wardrobe,Upcycled Fashion,Fashion Resale"
user_086,1279,"Influencer Style,Vintage Fashion,Digital Fashion,Seasonal Trends,Fashion Week Highlights"
user_087,1575,"Vintage Fashion,Fashion Sustainability,Seasonal Trends,Fashion NFTs,Virtual Fashion Shows"
user_088,1200,"Monochrome Outfits,Color Blocking,Layering Techniques,Athleisure Wear"
user_089,703,"Fashion Sustainability,Fashion Hacks,Gender-Neutral Fashion,Layering Techniques,Athleisure"
user_090,1035,"Fashion Collaborations,Minimalist Fashion"
user_091,653,"Streetwear,Vintage Fashion"
user_092,2234,"Fashion Collaborations,Fashion Resale,Fashion Week Highlights,Statement Pieces"
user_093,96,"Capsule Wardrobe,Fashion Week Highlights,Ethical Fashion,Fashion Collaborations"
user_094,98,"Athleisure,Upcycled Fashion,Fast Fashion,Ethical Fashion,Street Style"
user_095,1910,"High Fashion,Retro Fashion"
user_096,382,"Vintage Fashion,Fast Fashion"
user_097,1220,"Fashion Resale,Retro Fashion,Fashion Sustainability"
user_098,1135,Monochrome Outfits
user_099,63,"Gender-Neutral Fashion,Fashion Resale,Fashion Week Highlights,Virtual Fashion Shows"
user_100,313,"Statement Pieces,Layering Techniques,Color Blocking,Sustainable Fashion,Fashion Collaborations"
